mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-491.79877,80.29449,30.296406,-2.0086346,15.139477,13.928702,-2.2019272,-8.420601,-13.884527,4.456337,-9.339449,1.6597415,1.7126431,1
-477.9945,79.60675,18.540028,4.6916056,9.979831,12.821027,-4.3380847,-10.2183,-8.4704,-0.015718067,-3.3447375,0.7359756,-6.9279604,1
-523.0488,68.23671,24.584362,17.968779,19.109217,16.373407,-18.969053,-10.563338,-13.5791855,3.7540395,-7.9772415,-0.45034048,2.6185184,1
-505.57678,79.88738,18.50908,8.238008,16.024853,11.722544,-11.69083,-10.010292,-16.011854,4.1222987,-8.06907,-2.2014775,2.0989442,1
-537.53674,75.5577,31.15716,15.9577875,19.388693,19.037197,-6.2799473,-10.202359,-14.796979,2.7623703,-12.9633665,-1.3425988,4.0730495,1
-545.2851,83.5802,20.015816,10.635471,13.535886,13.489037,1.0585814,-4.6242633,-4.6424055,1.9170327,-0.35520133,1.3344219,-1.0112516,1
-511.01877,72.31828,14.981922,15.549601,17.71439,15.136214,-12.455909,-10.893916,-13.18217,8.308633,-7.7326074,-2.6873174,3.745905,1
-499.9529,66.98273,27.323116,18.374464,22.31053,10.202891,-3.6279383,-7.5344667,-15.213723,2.9890404,-11.284407,-1.6027077,-1.6638695,1
-527.50543,76.07866,28.07834,15.555681,18.541523,17.96191,-4.935063,-13.140071,-18.074713,2.8965147,-8.628375,-8.957563,1.3675774,1
-540.45624,74.49226,24.429796,18.874046,21.253284,18.450798,-13.307215,-11.591028,-14.985595,8.267333,-10.944732,-1.7268256,3.1319513,1
-500.73425,70.35555,28.172794,15.82678,17.694279,12.50868,-4.4998355,-6.390745,-14.672878,0.011640872,-9.183168,-4.7842755,-4.781803,1
-523.51385,82.05269,40.607853,10.574032,7.4638486,10.248744,-4.340359,-4.926209,-14.632032,4.22376,-8.363139,-1.9145029,-3.4042368,1
-526.57446,69.13007,29.146704,15.5491495,14.164172,18.93164,-12.425546,-14.339056,-16.05691,2.5252905,-12.528812,-1.3841984,3.2298667,1
-539.48517,73.37069,34.94315,15.767686,18.418262,17.05306,8.198516,-9.797166,-10.9185,5.1603765,-9.851943,0.40542182,-1.8138077,1
-520.37445,83.895546,25.830404,14.37884,12.99352,17.84582,-8.244024,-16.063692,-17.446712,2.9703488,-8.624331,-5.8698525,-2.0744326,1
-516.16693,83.34836,11.771586,7.461081,11.729535,16.031893,-14.34113,-9.26589,-14.009342,7.8542185,-9.268856,5.4963393,-1.2772739,1
-524.1481,94.30393,29.07977,10.966867,0.3750514,12.070373,-14.918995,-9.266653,-12.979516,3.835027,-7.4212937,1.7945492,0.18020567,1
-468.73172,92.11039,14.772868,4.799042,9.213231,10.824943,-4.6964965,-12.441387,-5.997209,2.098142,-5.044508,2.871561,-5.995882,1
-517.33203,76.65053,27.107012,17.93105,23.878736,9.559799,-6.6427917,-11.52447,-15.009833,5.312629,-12.409978,-4.3957114,0.13852836,1
-511.03345,87.45484,17.449083,11.966123,11.854211,17.477604,-20.700684,-11.411073,-19.512032,11.005825,-8.207326,3.6133552,1.2907312,1
-505.61398,74.62515,24.268547,21.36227,22.446692,11.074929,-11.446151,-17.599382,-17.659338,7.5926323,-11.922619,-3.098654,0.7677772,1
-495.04517,92.39703,10.967219,0.47931543,10.195151,16.172594,-12.846502,-17.284695,-11.771604,7.3490553,-11.4939995,3.4149122,2.082452,1
