mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,delta2_mfcc_1,delta2_mfcc_2,delta2_mfcc_3,delta2_mfcc_4,delta2_mfcc_5,delta2_mfcc_6,delta2_mfcc_7,delta2_mfcc_8,delta2_mfcc_9,delta2_mfcc_10,delta2_mfcc_11,delta2_mfcc_12,delta2_mfcc_13,label
0.19296919,-2.1320658,-1.4469696,2.0381012,0.97755617,-0.103984304,0.096912496,-0.71794057,0.24657342,-0.8316568,0.2557805,-2.2008407,0.69259065,0.30258042,0.6279618,-1.2468951,-0.90601367,0.796368,0.69004214,-0.6464566,-1.0561371,-0.87931824,1.6885238,0.681297,0.0006713666,0.30819017,1.3197817,1.8330371,-0.4256861,0.0032957403,1.0052404,-0.26884034,-1.1697906,-1.3796426,-2.298376,0.18162514,0.2501886,0.46480197,0.010718074,1
-0.49004418,-2.6988041,-0.6909638,0.9937379,1.7006578,-0.9695133,0.71055573,1.5319705,1.6969802,-1.9334079,1.279609,1.3121907,0.4533174,-0.023174075,-0.5816727,0.371113,0.8442851,-0.31878686,-0.23043424,-0.17731494,0.0636434,0.4847333,0.7131009,0.15689494,0.36904484,1.2569537,1.4303169,-0.3793296,-1.2118695,-0.057100657,-0.08088955,-0.2480053,0.65717703,0.2877182,-0.11548054,1.3525767,-0.014770799,-0.46602067,0.013345631,1
-0.17380208,-0.73609304,-1.0440178,0.6960714,0.101064816,-1.7306359,1.9586347,0.45420116,1.6695188,-1.4136875,1.249855,-1.2994314,-1.0534093,-0.30440438,0.119912915,-0.34854057,-0.34310272,-1.3303431,-0.35835633,-0.16329649,0.35902235,-0.4997766,0.22490835,0.32684278,-0.25514662,-0.5600148,-0.8672566,-0.08758103,0.9635525,-0.9147654,-0.9075625,0.9506119,-0.72800136,1.2945777,-0.74561757,-1.0951272,0.6082312,0.8314297,-0.003625,1
-1.3651258,-0.10187096,0.6767061,0.365154,-1.1844366,-0.484703,0.49102455,-0.016038008,0.06757438,0.47406197,0.20004256,0.10623904,0.1839095,1.6025734,0.8966908,1.9941329,1.386495,-2.2611165,-1.9504279,-1.0054183,0.09532732,-0.11574578,-0.14116439,-0.63797736,0.0155926645,-0.6261591,0.35109273,-0.87586087,-0.038993053,-0.5325291,0.40169394,-0.7337929,-0.4694739,0.66137636,1.2629907,-0.9178062,-1.093948,-0.5160289,0.25339073,1
0.8878191,-0.24605347,-0.55995905,-1.5676713,-0.39096865,-0.45284453,0.58336604,1.1734815,1.5141617,-0.14702795,1.8186255,1.5421757,0.86795044,0.452679,-1.1828694,-0.15594088,0.2259775,-1.0488994,-0.20734183,0.35304883,0.048490293,-0.039034255,0.39020696,0.07085604,0.8512733,0.73155075,1.2996843,-0.3965688,-0.12499074,0.2805547,-0.3160254,-0.30507648,-0.91024536,-0.9420106,-0.48387867,0.58339894,0.51589775,-0.6318692,-0.6075164,1
-1.5744358,0.122176416,-0.34606463,1.5638802,1.7628149,0.27980736,-0.55661374,0.51591676,-0.33722,0.6801806,-0.1699443,-0.7050008,1.0013765,0.72362405,-0.45518187,-0.7148443,-0.24436395,-0.64284045,-0.46691954,-0.43883502,-1.808835,-1.0669596,0.9376172,-0.64325005,-1.3308127,-0.5838321,1.6782317,-0.57220703,-1.3334624,-2.1324227,-1.0977002,0.22301383,1.031953,-0.089151196,-1.176835,1.1286968,2.4288244,0.026336314,-0.24891245,1
0.17468789,-0.5594268,0.67421234,-0.19124377,0.9927844,-0.6295044,0.4022879,0.097605035,1.046555,0.0410642,-0.26983723,0.53359663,-0.500006,0.47511667,-0.05192964,1.2373801,1.6086841,0.1353848,0.72528195,0.4121195,-0.6181115,-0.2200232,-0.28335226,-1.3367245,-1.278965,-1.088064,0.3845663,-1.5651487,1.1240218,0.28047282,-2.0935187,0.2678858,0.42288363,0.95407856,0.9553662,-0.6476372,0.07065848,0.28613955,-0.41336495,1
1.0236021,0.01597255,0.536331,-0.8110723,-0.22981165,-0.79745954,1.3108747,0.14956038,1.1751076,0.76697105,0.11900233,0.1320609,-1.2073867,-0.618051,0.87310016,0.06408019,-1.5877081,-0.20256227,0.3357358,-0.8860139,0.15938057,0.5901219,-0.19874741,0.8601246,0.6504097,0.28514162,0.10079926,0.009424587,1.1135157,0.502795,0.7986531,0.15563004,-1.0580754,0.3161299,-0.32652336,0.3443355,-0.2515659,-1.9474047,0.50056773,1
0.28106266,-0.7236474,1.0868611,0.41473728,2.0217907,0.23489161,0.6506545,0.16366908,0.97425777,-1.0822462,-0.7572127,-0.09342001,0.041374665,-0.22587632,0.8648212,-0.08083709,-0.045434147,1.0192232,0.6377064,0.997446,1.1321907,1.0754573,-0.29209885,1.2556373,1.910031,1.4273562,-0.7448921,-1.1012696,-0.41941413,0.4930032,-1.0784822,-0.911161,-0.9521842,-0.69005746,-0.3105146,-0.10799409,-1.2392248,-2.0480924,-0.8339841,1
0.4516562,1.2075955,0.819429,-1.061748,0.23214456,0.30686474,1.3962876,1.0271496,0.52350056,-0.8120865,0.5636961,-0.094780445,-1.0846868,-0.025199477,1.4269127,1.5140212,0.40468854,1.2085813,1.3652569,0.27634996,1.6132925,-0.70299566,-1.7870178,-0.90081203,-1.4872658,-0.39722136,-1.6437365,0.09681196,0.083741784,1.8288873,0.3374426,3.113596,1.3806502,0.17413962,0.15684041,-0.082620114,-0.5718823,-0.67792636,-0.5048467,1
